entidad,anio,viviendas_registradas,indice_valor_uma,inpc_nacional,tasa_objetivo,cetes_91d,inflacion_subyacente_anual
QUINTANA ROO,2020,13519,193.1582218,107.43,5.287692308,2.300833333,5.498134921
QUINTANA ROO,2021,15939,193.4334023,113.5419167,4.640769231,8.849166667,4.40541502
QUINTANA ROO,2022,9886,182.0443557,122.5075,8.278269231,8.866666667,7.656547619
QUINTANA ROO,2023,11448,188.3970999,129.2796667,11.35519231,1.993333333,11.1487251
QUINTANA ROO,2024,8745,182.5415666,135.3845833,10.85283019,6.538333333,10.89749004
QUINTANA ROO,2025,14374,186.3063865,140.5421667,8.154038462,2.839166667,8.410278884
SAN LUIS POTOSI,2016,6570,186.757382,90.12791667,4.358076923,2.350833333,4.16297619
SAN LUIS POTOSI,2017,3432,191.6691434,95.573,6.883076923,10.29916667,6.711513944
SAN LUIS POTOSI,2018,5247,192.2051649,100.2553333,7.841320755,8.175833333,7.694342629
SAN LUIS POTOSI,2019,2911,194.4191,103.9006667,7.917884615,3.4825,8.104302789
SAN LUIS POTOSI,2020,4836,194.9644334,107.43,5.287692308,2.300833333,5.498134921
SAN LUIS POTOSI,2021,4805,193.5610822,113.5419167,4.640769231,8.849166667,4.40541502
SAN LUIS POTOSI,2022,3079,195.2330302,122.5075,8.278269231,8.866666667,7.656547619
SAN LUIS POTOSI,2023,3781,193.3204179,129.2796667,11.35519231,1.993333333,11.1487251
SAN LUIS POTOSI,2024,3910,193.6750639,135.3845833,10.85283019,6.538333333,10.89749004
SAN LUIS POTOSI,2025,3936,186.4075203,140.5421667,8.154038462,2.839166667,8.410278884
SINALOA,2016,10042,176.9542422,90.12791667,4.358076923,2.350833333,4.16297619
SINALOA,2017,6862,181.9546779,95.573,6.883076923,10.29916667,6.711513944
SINALOA,2018,9174,177.6265533,100.2553333,7.841320755,8.175833333,7.694342629
SINALOA,2019,5977,185.0840723,103.9006667,7.917884615,3.4825,8.104302789
SINALOA,2020,5860,186.9506826,107.43,5.287692308,2.300833333,5.498134921
SINALOA,2021,7115,188.70513,113.5419167,4.640769231,8.849166667,4.40541502
SINALOA,2022,5757,192.9973945,122.5075,8.278269231,8.866666667,7.656547619
SINALOA,2023,4524,196.0333775,129.2796667,11.35519231,1.993333333,11.1487251
SINALOA,2024,4154,193.3843284,135.3845833,10.85283019,6.538333333,10.89749004
SINALOA,2025,11698,178.8587793,140.5421667,8.154038462,2.839166667,8.410278884
SONORA,2016,9752,178.024918,90.12791667,4.358076923,2.350833333,4.16297619
SONORA,2017,5858,182.0247525,95.573,6.883076923,10.29916667,6.711513944
SONORA,2018,6813,185.8184353,100.2553333,7.841320755,8.175833333,7.694342629
SONORA,2019,4927,191.596712,103.9006667,7.917884615,3.4825,8.104302789
SONORA,2020,4854,190.6962299,107.43,5.287692308,2.300833333,5.498134921
SONORA,2021,7650,194.489281,113.5419167,4.640769231,8.849166667,4.40541502
SONORA,2022,5513,193.2061491,122.5075,8.278269231,8.866666667,7.656547619
SONORA,2023,4944,195.0518811,129.2796667,11.35519231,1.993333333,11.1487251
SONORA,2024,5861,193.3068589,135.3845833,10.85283019,6.538333333,10.89749004
SONORA,2025,8486,185.7975489,140.5421667,8.154038462,2.839166667,8.410278884
TABASCO,2016,3449,169.5536387,90.12791667,4.358076923,2.350833333,4.16297619
TABASCO,2017,499,194.0641283,95.573,6.883076923,10.29916667,6.711513944
TABASCO,2018,1043,158.7080537,100.2553333,7.841320755,8.175833333,7.694342629
TABASCO,2019,1222,183.8297872,103.9006667,7.917884615,3.4825,8.104302789
TABASCO,2020,531,188.4199623,107.43,5.287692308,2.300833333,5.498134921
TABASCO,2021,1472,164.357337,113.5419167,4.640769231,8.849166667,4.40541502
TABASCO,2022,139,179.4316547,122.5075,8.278269231,8.866666667,7.656547619
TABASCO,2023,240,130.9333333,129.2796667,11.35519231,1.993333333,11.1487251
TABASCO,2024,650,117.5538462,135.3845833,10.85283019,6.538333333,10.89749004
TABASCO,2025,14440,166.4575139,140.5421667,8.154038462,2.839166667,8.410278884
TAMAULIPAS,2016,11240,159.2736655,90.12791667,4.358076923,2.350833333,4.16297619
TAMAULIPAS,2017,8073,159.6494488,95.573,6.883076923,10.29916667,6.711513944
TAMAULIPAS,2018,8772,163.8682741,100.2553333,7.841320755,8.175833333,7.694342629
TAMAULIPAS,2019,8609,172.3860495,103.9006667,7.917884615,3.4825,8.104302789
TAMAULIPAS,2020,8676,174.9384509,107.43,5.287692308,2.300833333,5.498134921
TAMAULIPAS,2021,12318,182.7713509,113.5419167,4.640769231,8.849166667,4.40541502
TAMAULIPAS,2022,6800,185.3060294,122.5075,8.278269231,8.866666667,7.656547619
TAMAULIPAS,2023,9037,185.3292575,129.2796667,11.35519231,1.993333333,11.1487251
TAMAULIPAS,2024,10074,185.1530673,135.3845833,10.85283019,6.538333333,10.89749004
TAMAULIPAS,2025,33765,173.4497557,140.5421667,8.154038462,2.839166667,8.410278884
TLAXCALA,2016,1154,146.5099653,90.12791667,4.358076923,2.350833333,4.16297619
TLAXCALA,2017,872,157.0676606,95.573,6.883076923,10.29916667,6.711513944
TLAXCALA,2018,847,156.3559622,100.2553333,7.841320755,8.175833333,7.694342629
TLAXCALA,2019,678,166.4778761,103.9006667,7.917884615,3.4825,8.104302789
TLAXCALA,2020,1277,152.1018011,107.43,5.287692308,2.300833333,5.498134921
TLAXCALA,2021,1035,146.7202899,113.5419167,4.640769231,8.849166667,4.40541502
TLAXCALA,2022,473,160.2938689,122.5075,8.278269231,8.866666667,7.656547619
TLAXCALA,2023,619,157.3449111,129.2796667,11.35519231,1.993333333,11.1487251
TLAXCALA,2024,992,142.2207661,135.3845833,10.85283019,6.538333333,10.89749004
TLAXCALA,2025,719,155.659249,140.5421667,8.154038462,2.839166667,8.410278884
VERACRUZ DE IGNACIO DE LA LLAVE,2016,8598,165.356013,90.12791667,4.358076923,2.350833333,4.16297619
VERACRUZ DE IGNACIO DE LA LLAVE,2017,7847,176.5821333,95.573,6.883076923,10.29916667,6.711513944
VERACRUZ DE IGNACIO DE LA LLAVE,2018,7111,175.0828294,100.2553333,7.841320755,8.175833333,7.694342629
VERACRUZ DE IGNACIO DE LA LLAVE,2019,5394,179.3424175,103.9006667,7.917884615,3.4825,8.104302789
VERACRUZ DE IGNACIO DE LA LLAVE,2020,4409,174.2485824,107.43,5.287692308,2.300833333,5.498134921
VERACRUZ DE IGNACIO DE LA LLAVE,2021,5158,178.1265025,113.5419167,4.640769231,8.849166667,4.40541502
VERACRUZ DE IGNACIO DE LA LLAVE,2022,4218,179.657302,122.5075,8.278269231,8.866666667,7.656547619
VERACRUZ DE IGNACIO DE LA LLAVE,2023,4020,182.2890547,129.2796667,11.35519231,1.993333333,11.1487251
VERACRUZ DE IGNACIO DE LA LLAVE,2024,5133,177.1874148,135.3845833,10.85283019,6.538333333,10.89749004
VERACRUZ DE IGNACIO DE LA LLAVE,2025,22214,166.6149725,140.5421667,8.154038462,2.839166667,8.410278884
YUCATAN,2016,9642,161.828044,90.12791667,4.358076923,2.350833333,4.16297619
YUCATAN,2017,8195,177.190665,95.573,6.883076923,10.29916667,6.711513944
YUCATAN,2018,12284,179.5748535,100.2553333,7.841320755,8.175833333,7.694342629
